1-4|Massive SIZ Increase: Add +[[2d6]] to SIZ. Recalculate Hit Points and Damage Bonus.
5-8|Massive STR Increase: Add +[[2d6]] to STR. Recalculate Damage Bonus.
9-12|Massive CON Increase: Add +[[2d6]] to CON. Recalculate Hit Points and healing rates.
13-16|Massive DEX Increase: Add +[[2d6]] to DEX. Recalculate Strike Rank (SR) and Agility skills.
17-18|Extremely Soft Hide: Natural Armor Value drops to 0. Skin becomes fragile and easily bruised.
19-20|Spits Acid: Can spit acid [[1d6]] times/day. Range 6m. Deals [[2d10]] POT damage to 3 contiguous locations.
21-24|Insubstantiality: Can become gaseous/immaterial for 1 round at a time. Cannot attack but bypasses physical armor.
25-28|Sonic Shriek: Emits a piercing whistle. Targets take [[1d6]] damage/round ignoring physical armor and go deaf.
29-32|Spell Reflection: Reflects incoming spells up to 2 Magic Points directly back at the caster unharmed.
33-36|Regenerative Blood: Absorbs chaotic energy to automatically heal [[1d4]] Hit Points per melee round.
37-40|Chitinous Shell / Scaly Skin: Thick hardened plates grant +3 to +4 natural armor across all hit locations.
41-44|Extra Limbs: Sprouts [[1d2]] extra arms or legs. Gives extra weapon attacks or +20% to Climb/Balance skills.
45-48|Venomous Bite/Sting: Sprouts mandibles or a tail stinger. Inject systemic poison with a POT equal to creature's CON.
49-52|Aura of Chaos (Fear): Passive presence requires any non-chaotic viewer to pass a POW check or flee in panic.
53-56|Hypnotic Gaze: Forcing eye contact forces target to match POW. Failure leaves target dazed and immobilized.
57-60|Empowered Magic: All Chaos-based Spirit or Rune magic costs half the normal Magic Points or Rune Points to cast.
61-64|Cloven Hooves / Leaping Legs: Legs mutate into powerful animalistic limbs. +3 Move, +25% to Jump.
65-68|Gorgon Eyes / Extra Eyes: Covered in minor blinking eyes. Prevents being blindsided; +20% to Scan/Search.
69-72|Chaos Decay / Rotting Touch: Melee attacks inflict a rot that degrades target's armor by 1 point per hit.
73-76|Chameleon Flesh: Skin texture dynamically shifts to blend into any surroundings. Adds +40% to Hide skills.
77-80|Emaciated / Skeletal Frame: Immune to impaling weapons (spears, arrows pass through gaps). SIZ counts as 4 points lower for tracking damage.
81-84|Leech Mouth: Successful bite attacks drain [[1d6]] Magic Points from the target, feeding them directly to the user.
85-88|Smokespawn: Constant thick black soot pours from the body, creating a 3-meter radius sphere of partial concealment (-20% to hit).
89-92|Blood Agony: When injured, the creature's exposed flayed flesh and blood inflict horror. Lose [[2d6]] CHA permanently.
93-95|Spell Immunity: Completely immune to all incoming Spirit Magic spells. Divine/Rune magic functions normally.
96-98|Unsettling Amalgamation: Sprouts a collection of baby arms, screaming auxiliary mouths, and misplaced ears. Targets suffer -15% to parry/dodge.
99-100|Double Taint: Roll two more times on this table, compounding both features (ignore subsequent 99-100 results). Note: Removed in some strict modern updates for balance, but a staple of classic campaigns.
