1|recover a map or a book
2|recover precious metals or gems
3|recover jewelry
4|recover religious artifacts
5|recover magical items
6|recover traditional items or trade goods
7|recover a message
8|recover an animal
9|recover a body
10|recover a ship
11|steal a map or a book
12|steal precious metals or gems
13|steal jewelry
14|steal religious artifacts
15|steal magical items
16|steal traditional items or trade goods
17|steal a message
18|steal an animal
19|steal a body
20|steal a ship
21|transport a map or a book
22|transport precious metals or gems
23|transport jewelry
24|transport religious artifacts
25|transport magical items
26|transport traditional items or trade goods
27|transport a message
28|transport an animal
29|transport a body
30|transport a ship
31|smuggle a map or a book
32|smuggle precious metals or gems
33|smuggle jewelry
34|smuggle religious artifacts
35|smuggle magical items
36|smuggle traditional items or trade goods
37|smuggle a message
38|smuggle an animal
39|smuggle a body
40|smuggle a ship
41|guard a map or a book
42|guard precious metals or gems
43|guard jewelry
44|guard religious artifacts
45|guard magical items
46|guard traditional items or trade goods
47|guard a message
48|guard an animal
49|guard a body
50|guard a ship
51|raid for a map or a book
52|raid for precious metals or gems
53|raid for jewelry
54|raid for religious artifacts
55|raid for magical items
56|raid for traditional items or trade goods
57|raid for a message
58|raid for an animal
59|raid for a body
60|raid for a ship
61|destroy a map or a book
62|destroy precious metals or gems
63|destroy jewelry
64|destroy religious artifacts
65|destroy magical items
66|destroy traditional items or trade goods
67|destroy a message
68|destroy an animal
69|destroy a body
70|destroy a ship
71|locate a map or a book
72|locate precious metals or gems
73|locate jewelry
74|locate religious artifacts
75|locate magical items
76|locate traditional items or trade goods
77|locate a message
78|locate an animal
79|locate a body
80|locate a ship
