1-2|Farmers: Mortin and Jeraal brawling over livestock or crops.
3-4|Con: Doska inviting marks to gamble on cups and balls (Sleight of Hand).
5-6|Fowl: Ducks/chickens scatter. Riva "Homeslice" (pickpocket) uses diversion.
7-8|Noble: Lord Ibrenon on a charger; arrogant and insulting.
9-10|Bard: Arthur Excelsior offers to compose a ballad about the party (for a fee).
11-12|Merchant: Eggbert Cruthers selling weapons; discreetly offers specialty gear.
13-14|Brawl: Screaming Goat Tavern fight spills out; [[5d6]] drunken brawlers.
15-16|Alchemist: Gusterro ("Gus") hawking fire pots; hides them from guard patrols.
17-18|Pot: Chamber pot emptied from 2nd story. Dex check to avoid excreta.
19-20|Cows!: Herd spooked by thunder, about to stampede.
21-22|Fire!: Woman yells "Fire!" at a smoke-filled building; well is distant.
23-24|Guards: [[4d6]] patrolling guards; may question strange adventurers.
25-26|Axemen: Trio selling firewood; tiny fey hiding behind a log knot.
27-28|Oleg Arkoza: Renowned potion maker speaking with a noblewoman.
29-30|Falconer: Ms Eliana selling an assortment of hunting birds.
31-32|Funeral: Procession of pall bearers, priests, and relatives.
33-34|Gangs: [[3d6]] thugs of rival gangs clash with knives/hatchets.
35-36|Rats!: [[3d6]] starving rats attack Totha, a street kid with safe house knowledge.
37-38|Troupe: [[3d6]] performers gathering a crowd (30% pickpockets present).
39-40|Repent: [[2d6]] clergy berating party for violence and greed.
41-42|Shuba: Thugs beating merchant Shuba Sendarran over gang debts.
43-44|Pie: Ghirk Galak, pigeon pie seller and street informant.
45-46|Farrier: Elderly Ugalos gifts a lucky shoe (restores 1 Luck once) if impressed.
47-48|Execution: Magistrate presiding over hanging of three criminals; [[3d6]] guards.
49-50|Plague: Stacked plague bodies in alley; ornate bracer (Valuables A) visible.
51-52|Tarot: Madame Eshorri (Sun: +1 Luck; Moon: -1 Luck).
53-54|Moon: Blood moon superstitions. Consult Bones for ferrocious Lycanthrope hunt.
55-56|Dog: Elderly street dog follows party; canny fighter if befriended.
57-58|Rooftop Rumble: Guards and cowled Urgot fighting along rooftops.
59-60|Rain: Miserable driving rain makes roads slippery and deep with puddles.
61-62|Mimes: A plague of mute performers descended on the street.
63-64|Riot: [[1d100+100]] dock workers take up arms; guards about to lose control.
65-66|Actor: Aros or Odea; skilled impersonator (Cha 15).
67-68|Books: Merchant Thelsa selling books/maps; excellent forger.
69-70|Rivals: [[6d10]] members of three rival parties in bellicose brawl.
71-72|Thief!: Bjernvin sprints by with a pouch; Yornic follows yelling "Thief!".
73-74|Blood: Young noble Carrex staggers into alley and collapses bleeding.
75-76|Hypnotist: Alal the Mysterious performing; knows Gaze of Beguilement.
77-78|Explosion!: Deafening blast from a nearby tower; thick plume of smoke.
79-80|Monkey: Escaped monkey hides in PC backpack; performer follows with net.
81-82|Fog: Consult Bones for [[2d4]] Will o' Wisps at dusk.
83-84|Race: Horses/carriages racing; nobles from opposing houses at reins.
85-86|Body: Crashes to ground; [[1d3]] shadows escaping across rooftops.
87-88|Orb: Castin has glass orb; asks if you are the one it waits for.
89-90|Crier: Town crier ringing bell: "The duke is dead!".
91-92|Zealot: Preaching end of days and welcoming Old Ones.
93-94|Ritual: [[3d6]] priests offering blessings and scripture.
95-96|Licences: Tax Collector Cruxus asking for weapon licences.
97-98|Cat: Tabby cat with cropped ears; loyal watch-cat if befriended.
99-00|Wind: Blustering wind knocking objects off tables.
