1|Plateau: 40-ft outcropping with piles of stones at the top edge.
2|Oasis: Bitter watering pool. Consult Bones for predators (Crocs/Scorpions).
3|Sandstorm: Luck (Con) save or become Fatigued.
4|Heat: Con check or roll [[1d10]] on Toxin Trauma table.
5|Statue: Serpent statue with Giant Serpents/Serpentmen (40%) on pilgrimage.
6|Raiders: [[3d10]] Berserkers (60%) or [[3d6]] Bandits (40%).
7|Dungeon: Unearthed beetle-headed statue next to descending stone steps.
8|Pillars: Salt pillars with half-buried ancient weapons/shields.
9|Beetles: [[2d4]] Giant black Scarab Beetles playing in dune shadows.
10|Camp: [[4d6]] Skorn (60%) or [[2d6]] Urgot (40%) nearby.
11|Ambush!: Desert Bulette bursts from drifts to swallow a PC.
12|Scorpions: [[1d6]] Giant Scorpions crawl out of sand for ambush.
13|Cyclopes: [[3d6]] hunters (30% have pet Wyvern).
14|Elemental: 10-15 HD Fire Elemental seeking to burn everything.
15|Tribute: Sand Genie (Malafas) demands tribute or test for passage.
16|Hydra: Prowls wastes; leaves tracks and digs daily burrows.
17|Worm: Purple Worm hunts here; 15-ft wide collapsed tunnels warn of it.
18|Ants: [[2d6]] Giant Worker Ants (70%) with Soldier escorts (30%).
19|Guardians: [[3d8]] animal-headed humanoids demanding tribute (as Skorn).
20|Scarabs: Swarm infests food/gear; Luck save vs spoiled rations and -1 Luck.
