1|Poison: Vines/spores cause [[1d10]] dmg and Madness (Luck (Con) resists).
2|Insects: Cloud carries disease. Luck (Con) save or Weeping Limbs (Dex loss).
3|Pit: Spiked traps ([[3d6]] dmg) or tree snares (Luck (Dex) resists).
4|Statue: 15-ft serpentman statue wrapped in tended flowering vines.
5|Hut: Set in branches of kapok tree with hanging vine ropes.
6|Monkeys: [[5d6]] Man Eating Monkeys stalking from trees.
7|Centipedes: [[2d12]] Giant Centipedes seeking to implant eggs in warm bodies.
8|Ants: [[2d6]] Giant Worker Ants (70%) with Soldier escorts (30%).
9|Splintering: Colossal creature bucking treetrees; humanoid scream cut short.
10|Vines: [[5d6]] Flesh Eating Vines surge to strangle and absorb party.
11|Serpents: Nest of [[2d4]] Giant Serpents (30% have Serpentman handler).
12|Serpentmen: Band of Hraarsk/Ssurlocs moving toward ley line.
13|Sabretooth: Tiger(s) tracking party (70% solitary, 30% pack).
14|Apes: [[2d6]] territorial Giant Apes lounging under kapok trees.
15|T-Rex: 40-foot Tyrannosaurus Rex rampaging through area.
16|Drums: Tribal drums from east (Human cannibals or Skorn).
17|Lair: Hungry Hydra nearby with recent hatchlings.
18|Leeches: [[5d4]] Projectile Leeches in trees or [[3d6]] Urgot concealed in thicket.
19|Skorn: [[5d6]] making noise; Consult Bones to see if they scented the party.
20|Boar: Boar thunders past, followed by [[2d4]] Tigers.
