1|Obelisk: Silver markings in mirrored floor crater reflecting stars.
2|Tunnel: 10-ft tunnel with warded entryway (Luck (Will) vs [[2d6]] cold dmg).
3|Steep: Slope/ridge climb. Failure: Fatigued by the top.
4|Cave: Torchlight visible. [[4d6]] Skorn (60%) or [[2d6]] Urgot (40%) inside.
5|Encampment: Dozens of smoke columns over a high ridge.
6|Cloud: Low-lying cloud matching party speed and drawing nearer.
7|Quarrel: [[2d6]] Ogres arguing over direction; may smell party if downwind.
8|Nest: 100-ft nest with 12-ft feathers and three 4-ft eggs.
9|Taurs: [[1d8]] Minotaurs hunting for man flesh.
10|Feasting: [[1d6]] Giant Scorpions eating dead skorn.
11|Run!: [[1d4]] barbarians sprint past, followed by [[1d12]] Hill Giants.
12|Cyclopes: [[3d6]] Cyclopes scouting for humans to feast upon.
13|Manticores: [[1d4]] Manticores on ledge devouring a wolf.
14|Bulette: Hungry beast bursts from earth to bite PC.
15|Ambush: [[1d6]] Hill Giants waiting; successful Perc (Det) hears their hunger.
16|Wyverns: [[1d4]] Wyverns hunting metallic humanoids to drop from heights.
17|Griffons: [[2d6]] Griffons (50%) or Harpies (50%) circling above.
18|Pools: [[1d3]] Grey Ooze mimicking rock depressions.
19|Rockslide!: All PCs Luck (Dex) save or [[3d6]] dmg (13+ dmg causes Blunt Trauma).
20|Xornlings: [[2d4]] blending into rock face, seeking to eat precious metals/gems.
