1|Storm: Heavy rain and winds; watercraft damage risk and reduced visibility.
2|Becalmed: No winds. Group Luck save daily to see if winds return.
3|Raiders: [[2d10+40]] Vikings in longship intercept.
4|Dolphins: [[2d6]] inquisitive marine life following ship.
5|Wreck: Damaged caravel. Consult Bones for [[1d4]] survivors.
6|Inky Depths: Water turns jet black; diving birds do not resurface.
7|Balloon: Hot air balloon ship flies overhead.
8|Fog: Reduced visibility. Consult Bones for Will o' Wisps at dusk.
9|Trolls: [[2d6]] Sea Trolls scale hull at night to eat crew.
10|Pirates: Carrack with [[2d10+40]] pirates gives chase.
11|Hag: Blue Hag follows ship seeking opportunity to snatch crew.
12|Jelly: Ochre Jelly undulates toward ship; slurps up side.
13|Mutiny!: 80% of crew seeks control; losers walk the plank.
14|Wyverns: [[1d6]] circling down for potential meal.
15|Sabotage: Tainted stores. Luck (Con) save daily or lose [[1d2]] Con.
16|Pox: Crew has Lake Pox ([[1d6]] Dex loss); highly contagious.
17|Slavers: Idle merchant galley displaying shackle icon.
18|Sprites: [[5d4]] water Sprites swimming alongside causing mischief.
19|Battle: Two cogs fighting [[1d3]] pirate caravels on horizon.
20|Dinosaur: Kronosaurus surfaces and fixes gaze on ship.
