1|Cart: Broken firewood cart. Wagoners Orson/Rugert ask for mend help.
2|Visitors: 2d6 wealthy tourists with 4d6 guards.
3|Crow Cage: Thief Beth starving in cage; pleads for release.
4|Patrol: 4d6 Soldier/Militia patrol; will not suffer cheek.
5|Caravan: 5d6 guards protecting merchant goods (roll 1d8 for type).
6|Pilgrims: 4d6 pilgrims heading toward shrine/temple.
7|Carriage: Lord Verne escorted by 3d4 knights.
8|Quest: Robed woman and three animal-featured men seeking scripture.
9|Bandits: 3d6 bandits blocking road demanding "tax".
10|Crone: Hag posing as crone to gain trust before eating PC.
11|Raiders: 3d10 Barbarians (60%) or 4d6 Skorn (40%) risking road raids.
12|Impersonators: 1d6 Lycanthropes in human form posing as travellers.
13|Beggars: 2d4 line thoroughfare; some may be network spies.
14|Wagon: Undertaker Tibbers (possible Doppelganger) asking for guards.
15|Smugglers: 2d6 smugglers transporting illegal goods (roll 1d8 for type).
16|Horse: Riderless messenger horse gallops past; messenger dead half-mile back.
17|Adventurers: 2d4 rivals chasing rumours of treasure/glory.
18|Troupe: 3d6 performers/bards; potential thieves/spies.
19|Knights: 4d6 knights hunting criminal; interrogate all encountered.
20|Treant: Bloodroot Treant masquerading as tree; signs of blood at base.
