1|Blizzard: Many hours duration. Luck (Con) save or 1d3 Con loss and Fatigued.
2|Glacier: 40-ft metallic cylinder unearthed in ice.
3|Crevasse: Lead PC must Luck (Dex) save or fall 1d3 x 10 ft.
4|Cave: Serpent-like mouth with flickering torchlight inside.
5|Pack: Wolves or Winter Wolves (30%) tracking party for weakest member.
6|Smoke: Explorer sitting by campfire beyond rise.
7|Altar: Ring of ice statues around black altar with bone horn.
8|Encampment: 5d10 Urgot practicing dark rituals in hide skin camp.
9|Frost Worms: 2d4 burrowing through ice, attracted to footfalls.
10|Cyclopes: 3d6 foul-mood outcasts scavenging here.
11|Ooze: Dormant Ooze beneath ice. Consult Bones to see if it wakes.
12|Ice Bulette: Cold-immune beast hunting the region.
13|Yeti: 14-ft shaggy beast prowling for warm flesh.
14|Roc: Flying overhead scouring wastes for giants/mammoths.
15|Giants: 1d10 Frost Giants traversing fields for meeting.
16|Elemental: 15 HD Water/Ice Elemental (Int 4) attempting communication.
17|Beetles: 2d4 blue Ice Beetles hibernating in snow-mound shells.
18|Ice Serpent: Dormant giant waiting for large prey.
19|Raiders: 3d10 Vikings pulling gear on sleds.
20|Avalanche!: Each PC suffers 4d6 dmg (Luck (Dex) save for half).
