1|Quicksand!: Lead PC Luck (Dex) save or sucked under ([[1d3]] Con loss).
2|Scales: Half-submerged dragon skeleton with usable scales.
3|Bog Fumes: Luck (Con) save or [[1d6]] dmg and random Madness.
4|Stirges: [[3d10]] ravenous swarm descends.
5|Chest: Mangrove merged with oaken chest (Valuables B). [[2d4+1]] Sprites.
6|Vermin: [[5d4]] Projectile Leeches (50%) or [[2d12]] Giant Centipedes (50%).
7|Refuse: 10-ft wide pile in dark pool; contains shiny objects.
8|Hut: Elevated wooden hut with smoke rising; insects are silent.
9|Swarm: Stinging insects. Luck (Con) save vs Febrile Rot (Str loss).
10|Crocs: [[2d4]] Giant Crocodiles lying in ambush.
11|Nest: [[1d6]] Giant Serpents and eggs (worth 1d4x100 sp).
12|Trolls: [[1d12]] Moor Trolls searching for flesh; some dormant in mud.
13|Snails: [[1d4]] Hammer Snails surging out of bracken.
14|Eels: [[2d6]] Giant Eels; electric shock (Luck (Con) save or Stunned).
15|Treants: [[1d4]] Bloodroot Treants masquerading as cypress trees.
16|Toads: [[2d6]] Giant Toads croaking loudly.
17|Hut: Hags live in ramshackle mud brick hut (30% coven of three).
18|Fog: Persistence for [[1d4]] hours. Consult Bones for Will o' Wisps.
19|Horns: [[3d6]] Skorn or [[4d4]] barbarians; half of party arrives as reinforce.
20|Serpentmen: [[4d4]] Hraarsk scouting ley lines; leader has Ruin map.
