1|Rockfall!: Group Luck (Dex) save or [[2d4]] dmg and Blunt Trauma.
2|Crevasse: [[1d4]] x 10 ft wide and [[1d10]] x 10 ft deep.
3|Underwind: Extinguishes non-magical lights. Check for Green Slime drop.
4|Clanking: Empty well/chute; grinding noises from deep below.
5|Fungi Forest: Cavern with lake, giant fungi, and 40-ft golden monolith.
6|Webs: [[2d4]] Giant Spiders in webs or behind trapdoors.
7|Mould: [[2d4]] patches of Yellow Mould growing in corners.
8|Mouth: 6-ft carved devil face set into wall; interior is pitch black.
9|Gas: Flammable pocket. [[3d6]] explosion dmg if light not extinguished.
10|Fungi: [[2d4]] Mushroom Men hibernating; wake in [[1d4]] rounds if party lingers.
11|Jelly: Ochre Jelly undulating along wall/rooftop for organic matter.
12|Worms: [[1d6]] Plague Worms tasting air for flesh.
13|Statue Pieces: Basilisk home; remnants of old petrified meals.
14|Mould: Miner's Woe; Luck (Con) save vs hacking cough.
15|Aberrant: Tentacle Spawn or Eye Terror exploring area.
16|Ambush!: [[1d6]] Rock Grinders burst from surfaces seeking metals.
17|Elemental: 10 HD Earth Elemental replenishing strength from stone.
18|Skorn: [[4d6]] Skorn or [[2d6]] Urgot exploring or skeletons (Carry Loot B).
19|Ooze: Grey Ooze stalking; uses Emotion Burst to isolate member.
20|Antennae: [[2d12]] Giant Centipedes crawling across ceiling.
