1|Scrapper: Suffers half damage while Wounded.
2|Bloodletter: Rolls double melee damage dice.
3|Warlord: Adv on Cha/Will checks; allies gain adv on Morale.
4|Eldritch Blood: Adv vs magic; their spells impose disad on target saves.
5|True Prodigy: May attempt one Major Exploit per combat.
6|Void Conduit: May cast one spell per combat (Int 16).
7|Triple Threat: May use any weapon/armour; exceptionally good looking.
8|Sentinel: May attempt one Rescue per adventure.
9|Infamous: Beheads defeated foes; PC at zero hp dies if not recovered now.
10|Shield Master: May negate two attacks with a shield before repair.
11|Ruinous Corruption: Roll on DDM table entry #99-100.
12|Mercurial: No free attacks granted for move; once per combat turn hit to miss.
13|Auspicious: Once per combat may reroll any single die after an action.
14|Back in Black: If reduced to zero hp, she miraculously survives if not beheaded.
15|Treacherous Dog: Adv on sneaky tactics/Minor Exploits (trip, sand in eyes).
16|Lightning Reflexes: GM chooses when they take their turn.
17|Monstrous Ally: Loyal Dire Wolf, Giant Eagle, or similar monstrous friend.
18|Arcana Equipped: Possesses a random Major Magical Item.
19|Backup: When Wounded, [[2d6]] allies break cover to assist.
20|Doom Pact: At death, a Rift monster (DDM #11-12) bursts from corpse.
