01-02 | Not how I’d have done it.
03-04 | A shovel will sort it.
05-06 | I can do it fast, or I can do it right.
07-08 | You had one job.
09-10 | Slackjaw scrumpy time.
11-12 | We’re all gonna die.
13-14 | I like the silver more than I like you.
15-16 | Can’t hear you over my brain talk.
17-18 | This is bullsh*t.
19-20 | Argona save us.
21 | Fangs of fate!
22 | Does this look swollen to you?
23 | Permission to speak, cap’n?
24 | We should never have come here.
25-26 | I ain’t got time to die.
27-28 | Son of a scob must pay.
29-30 | That’s some bad juju.
31-32 | Don’t mention it.
33-34 | It’s like we’re in some kind of sick game.
35-36 | I never liked him anyway.
37-38 | Ruuun!
39-40 | Aw hell no.
41-42 | Baal’s balls!
43-44 | Get to the horses!
45-46 | Is it just me, or …
47-48 | You heard the lady.
49-50 | Where to from here?
51-52 | I didn’t sign up for this.
53-54 | This ain’t good.
55-56 | Well that’s embarrassing.
57-58 | If I was richer, I wouldn’t put up with this sh*t.
59-60 | I’m not dying in this scraghole.
61-62 | Am I right?
63-64 | The bones say no.
65-66 | Thought I was smarter than this.
67-68 | I don’t trust any of you assholes.
69-70 | I survived the puss puddle plague. How bad can it be?
71-72 | Smells like a trap.
73-74 | I would if I could.
75-76 | I feels it in me bones.
77-78 | You got this.
79-80 | I’m gonna need more silver.
81-82 | If this ain’t a trap, I don’t know what is.
83-84 | Storm’s brewin’
85-86 | I don’t even want to know.
87-88 | Better you than me.
89-90 | Somebody oughta do something.
91-92 | Right you are guv.
93-94 | Say what now?
95-96 | Fucking magic innit?
97-98 | No, no, no (shaking head).
99-00 | What? Speak louder will ya?
