01-03 | Loose Canon 
53-56 | Dimwitted
04-06 | Short Fuse 
57-59 | Prankster
07-09 | Deceptive 
60-62 | Sneaky Git
10-12 | Cynical 
63-65 | Lotus Addict
13-15 | Brutish 
66-68 | Pagan
16-18 | Greedy 
69-70 | Sly
19-21 | Callous 
71-72 | Reckless
22-24 | Hears Voices 
73-74 | Grieving
25-27 | Shameless 
75-76 | Loose Lips
28-30 | Overconfident 
77-78 | Godless
31-32 | Argumentative 
79-80 | Sassy
33-34 | Death Wish 
81-82 | Blamer
35-36 | Outspoken 
83-84 | Ruthless
37-38 | Gambler 
85-86 | Selfish
39-40 | Snarky 
87-88 | Lazy
41-42 | Mirthless 
89-90 | Rowdy
43-44 | Paranoid 
91-92 | Blunt
45-46 | Withdrawn 
93-94 | Jaded
47-48 | Bawdy
95-96 | Foul Mouthed
49-50 | Alcoholic 
97-98 | Daring
51-52 | Superstitious 
99-00 | Iron Grit
