01-22 | Random Disease 
51-52 | Face/Neck Tattoo
03-04 | Half Dwarf (Con 15) 
53-54 | Stark White Hair
05-06 | Pockmarked 
55-56 | Elderly
07-08 | Ugly Mug 
57-58 | Bald/Hairless
09-10 | Missing Ear 
59-60 | Sumo Size
11-12 | Very Scruffy 
61-62 | 1d4+12 yrs old
13-14 | Missing Teeth 
63-64 | Bad Wheeze
15-16 | Limp or Pegleg 
65-66 | Only Whispers
17-18 | Missing Finger 
67-68 | Half Skorn (Str, Con 13)
19-20 | Pox, Warts, etc 
69-70 | Nose Ring
21-22 | Lucky Pet 
71-72 | Exile’s Mark
23-24 | 7 ft Giant Str 17 s
73-74 | Hook Hand
25-26 | Handlebar Moustache 
75-76 | Thievery Brand
27-28 | Obvious Scars 
77-78 | Birthmark on Face
29-30 | Foul Odour 
79-80 | Lisp
31-32 | Refuses to Wear Pants 
81-82 | Constant Muttering
33-34 | Hard of Hearing 
83-84 | Crude Glasses
35-36 | Lice Ridden 
85-86 | Loud Talker
37-38 | Eye Patch 
87-88 | Bad Wig
39-40 | Body Tattoos 
89-90 | Broken Nose
41-42 | Lucky (like a Halfling) 
91-92 | Cat Reflexes (Dex 15)
43-44 | Hunchback 
93-94 | Bad Breath
45-46 | Lazy Eye 
95-96 | Massive Beard
47-48 | Twins (2 for 1) 
97-98 | Hairy Palms
49-50 | Androgynous 
99-00 | Mute
