1-2 | Erik 
21-22 | Pax (n,f)
41-42 | Jugath (t)
61-62 | Ettore (k)
81-82 | Wick
3-4 | Brigley
23-24 | Herotta (v,f)
43-44 | Merek
63-64 | Sula (t,f)
83-84 | Carver
5-6 | Gorath 
25-26 | Donoso (k)
45-46 | Thea (f)
65-66 | Crowe
85-86 | Avenius (n)
7-8 | Numitor (n)
27-28 | Grubar (t)
47-48 | Corvex (n)
67-68 | Terrin
87-88 | Arnolf (v)
9-10 | Maarika (v,f)
29-30 | Vance
49-50 | Sigfurd (v)
69-70 | Brogen
89-90 | Garcilo (k)
11-12 | Costana (k,f)
31-32 | Carter
51-52 | Falker
71-72 | Iovis (n,f)
91-92 | Orok (t)
13-14 | Krul (t)
33-34 | Daria (f)
53-54 | Boris
73-74 | Luta (v,f)
93-94 | Yaness (f)
15-16 | Robek
35-36 | Ferox (n)
55-56 | Gorven
75-76 | Mercado (k)
95-96 | Dain
17-18 | Torin
37-38 | Yorri (v)
57-58 | Sertus (n)
77-78 | Hothra (t,f)
97-98 | Tybalt
19-20 | Eloise (f)
39-40 | Marente (k)
59-60 | Lagertha (v,f)
79-80 | Ayleth (f)
99-00 | Ruen
