1-2|A clear crystal ring with a twisting infinity pattern. As long as you wear it, you dream the same thing every night.
3-4|A wooden spoon with a shield emblem on the back. Poisoned or diseased food eaten with this utensil is safely neutralized.
5-6|A two inch basalt statuette of a dwarf holding the world beneath his beard. Rubbing the world restores 1 point of Luck (functions once per adventure).
7-8|When lit, this blood red candle produces a sickly crimson glow in a Melee area. Anyone within the glow finds it hard to lie (disadvantage on deception related checks).
9-10|A wicker bowl entwined with copper and colourful string. Placing it on the ground outdoors causes a random bird to fly down and sit in it. The bird retains full control of itself; it just likes the bowl.
11-12|A small pouch contains [[2d4]] sticks of runed chalk. The chalk wears out quickly (one use each) but writes on anything, including ice, water, fire and air (messages written on non solid surfaces dissipate in [[1d4]] minutes or until swished away).
13-14|A copper hairpin shaped like a lightning bolt. If the wearer is struck by lightning, the hairpin absorbs it, then glows for [[2d6]] days (like a candle).
15-16|This leather skullcap ties up with chin straps and has a false bottom. Peeling away the padded flap reveals a series of spidery runes beneath. Anyone wearing the cap becomes genuinely fearless (as often a boon as a curse, depending on the circumstances).
17-18|A dark furred cloak fashioned from the pelt of a Dire Wolf. While wearing it you are immune to adverse temperature changes due to natural environmental conditions (eg blistering heat from the sun, but not fire or magma burns).
19-20|A drinking horn crafted in the Old Varnori style. Anyone who finishes drinking from it feels compelled to sing loudly (Will check resists).
21-22|A writing quill made from a vulture's feather. The quill refuses to work with any liquid other than blood. If used with blood, you may write the name of a specific individual. When fighting that individual, your crit range expands to 15-20. The quill then vanishes.
23-24|A bone earring shaped like a jackal. Once per adventure you may turn a Cha (Deception) success into a Great Success. You may affect your own lie, or a lie you hear (you must know it is a lie).
25-26|An ivory comb with black striations. By the time you finish styling your hair with this comb, you appear fresh and well kempt (dry, unrumpled, and stain free, but holes/tears are not repaired).
27-28|This copper wand has a blue zircon gemstone at one end. Activating it (mental command, requires an action) imposes a throbbing headache (causing [[1d2]] Int loss) but allows you to detect magic as Pierce the Veil.
29-30|An unblemished needle with a tiny ruby set in its eye. Pricking a creature with the needle creates a sorcerous connection with the object. If the needle is laid flat, it turns to point in the direction of the pricked creature.
31-32|A plain circlet of white steel, set with a small jasper gemstone. If worn, the user is encased in ice (Luck (Con) save resists). The ice will not begin to melt until fire is applied to it (requires [[1d4]] hours). The circlet functions once per month, and wearing it triggers a DDM effect.
33-34|A white veil with a black eye icon. While wearing it, you may send a telepathic message (one way) to someone looking at the veil. Doing so drains you 1 Con.
