01-02|Erik
03-04|Brigley
05-06|Gorath
07-08|Numitor (n)
09-10|Maarika (v,f)
11-12|Costana (k,f)
13-14|Krul (t)
15-16|Robek
17-18|Torin
19-20|Eloise (f)
21-22|Pax (n,f)
23-24|Herotta (v,f)
25-26|Donoso (k)
27-28|Grubar (t)
29-30|Vance
31-32|Carter
33-34|Daria (f)
35-36|Ferox (n)
37-38|Yorri (v)
39-40|Marente (k)
41-42|Jugath (t)
43-44|Merek
45-46|Thea (f)
47-48|Corvex (n)
49-50|Sigfurd (v)
51-52|Falker
53-54|Boris
55-56|Gorven
57-58|Sertus (n)
59-60|Lagertha (v,f)
61-62|Ettore (k)
63-64|Sula (t,f)
65-66|Crowe
67-68|Terrin
69-70|Brogen
71-72|Iovis (n,f)
73-74|Luta (v,f)
75-76|Mercado (k)
77-78|Hothra (t,f)
79-80|Ayleth (f)
81-82|Wick
83-84|Carver
85-86|Avenius (n)
87-88|Arnolf (v)
89-90|Garcilo (k)
91-92|Orok (t)
93-94|Yaness (f)
95-96|Dain
97-98|Tybalt
99-00|Ruen
