01-03|Loose Canon
04-06|Short Fuse
07-09|Deceptive
10-12|Cynical
13-15|Brutish
16-18|Greedy
19-21|Callous
22-24|Hears Voices
25-27|Shameless
28-30|Overconfident
31-32|Argumentative
33-34|Death Wish
35-36|Outspoken
37-38|Gambler
39-40|Snarky
41-42|Mirthless
43-44|Paranoid
45-46|Withdrawn
47-48|Bawdy
49-50|Alcoholic
51-52|Superstitious
53-56|Dimwitted
57-59|Prankster
60-62|Sneaky Git
63-65|Lotus Addict
66-68|Pagan
69-70|Sly
71-72|Reckless
73-74|Grieving
75-76|Loose Lips
77-78|Godless
79-80|Sassy
81-82|Blamer
83-84|Ruthless
85-86|Selfish
87-88|Lazy
89-90|Rowdy
91-92|Blunt
93-94|Jaded
95-96|Foul Mouthed
97-98|Daring
99-00|Iron Grit
