1 | [[1d6]] Toxin Trauma 
2 | Lose memory of last 48 hours
3 | [[1d12]] Toxin Trauma 
4 | [[1d6+6]] Toxin Trauma 
5 | [[1d4]] Str, Dex, or Con loss 
6 | [[1d4]] Int, Will, or Cha loss 
7 | [[3d8]] damage 
8 | Madness for [[2d6]] hours 
9 | Choking for [[3d6]] rounds 
10 | [[4d8]] damage 
11 | [[1d6]] Str, Dex, or Con loss
12 | [[1d6]] Int, Will, or Cha loss
13 | Blind for [[1d6]] hours
14 | Unconscious for [[1d4]] hours
15 | [[6d8]] damage
16 | Limb paralysed for [[1d6]] days
17 | Paralysed for [[1d6]] hours
18 | Death in [[1d6]] minutes
19 | Death or [[4d8]] damage if save
20 | Death or zero hp if save
