1-3|A Wisp Unseen: As the spell.
4-6|Abrupt Diminution: You instantly shrink to a minimum height of six inches.
7-9|Bestial Communion: As the spell.
10-12|Borrowed Talent: You steal one ability from the next creature you touch, including the ability to cast a specific spell, if desired (Luck (Will) save resists).
13-15|Cradle of Formlessness: As the spell.
16-18|Cheat Fate: You may cause any three rolls that affect you to be rerolled. This effect lasts until expended, up to one year.
19-21|Dragon’s Breath: You breathe fire, up to Close range, affecting up to three targets within a Close area. Targets suffer [[10d6]] damage (Luck (Dex) save for half).
22-24|Draught of Courage: Immunity to fear and +2 bonus to attacks and damage.
25-27|Dwarven Snout: Sniff out large quantities (at least 500 sp worth) of treasure (coins, art objects, etc) within Very Far range.
28-30|Earth Asunder: Burrow through earth and stone at a rate of Melee range per minute.
31-33|Fire Aegis: Immune to normal fire and half damage from magical fire.
34-56|Mend Flesh: As the spell.
57-59|Giant Strength: Your Strength increases to 22 for [[2d6]] rounds.
60-62|Glad Fortune: Restores [[2d4]] Luck points.
63-65|Life Leeching: Your touch drains [[2d6]] hit points from a living target, and you heal the same amount. Each time you drain hit points in this way, make a Dark & Dangerous Magic check.
66-68|Perfect Timing: Gain advantage on Luck rolls, and enemies suffer disadvantage on attacks against you for [[2d6]] rounds.
69-71|Phasing Form: Move at twice normal speed, and physical attacks against you have a 50% miss chance for [[2d6]] rounds.
72-74|Poison: [[2d6]] doses of Poison, roll [[1d20]] on the Poison table (p.226).
75-77|Wings of the Raven King: As the spell.
78-80|Sever Arcarnum: You may cast Sever Arcarnum once during the time the potion lasts. Alternatively, if you fail a Luck save to resist magic, you may use the potion effect to negate the spell (for yourself only) instead.
81-82|Sharpened Senses: See in non magical darkness, gain echolocation like a bat, and the olfactory senses and discernment of a bloodhound.
83-85|Sight Beyond Sight: As the spell.
86-88|Spider Essence: You may walk up walls and on ceilings etc like a spider.
89-91|Starmaiden’s Miracle: As the Old Magic Grimoire spell (p.230).
92-94|Transmogrification: As the spell.
95-97|Towering Growth: You grow up to 20 ft tall and your Str increases to a minimum of 16. Your weapon die increases by two categories.
98-100|One with the Deep: As the spell.
