1-2|A Wisp Unseen (Invisibility): Utility - Turn invisible until you attack or cast another spell.
3-4|Abjure the Unnatural (Circle of Protection): Combat - Conjure a protective field that keeps supernatural creatures at bay.
5-6|Arcane Aegis (Shield): Combat - Conjure a hovering shield that protects you.
7-8|Bending the Stone (Stone Shape): Utility - Reshape a large volume of stone into another form.
9-10|Beseech the Ancient Ones (Contact Other Plane): Divination - Seek answers from inscrutable entities beyond the Veil.
11-12|Bestial Communion (Speak with Animals): Utility - Speak with animals or insects.
13-14|Blast of Frozen Ruin (Cone of Cold): Combat - Unleash a blast of freezing ice. Targets may become semi-frozen at their location.
15-16|Brain Burst: Combat - Attack the brain of a living creature.
17-18|Cleansing Charm (Neutralize Poison, Cure Disease): Healing - End a curse, neutralize poison, or cure a disease.
19-20|Conjure Entity: Combat - Conjure a dangerous entity from the Void.
21-22|Cradle of Formlessness (Gaseous Form): Utility - Turn into flying mist for a short time.
23-24|Crush of the Warp (Hold Person): Combat - Paralyze several creatures.
25-26|Dark Slumber (Sleep): Combat - Put several creatures to sleep.
27-28|Echo of Days: Divination - See past events connected to an item.
29-30|Elemental Ward: Combat - Gain immunity to one kind of element or supernatural attack form.
31-32|Fetid Fog of the Pit People (Stinking Cloud): Combat - Conjure a sickening fog that incapacitates those within.
33-34|Flesh to Stone: Combat - Turn a creature into a statue, or reverse such.
35-36|Gabbling of the Jade Moon (Confusion): Combat - Conjure an alien moon that causes onlookers to fall into madness.
37-38|Gaze of Beguilement (Charm Person): Utility - Enchant a humanoid to believe you are a trusted friend.
39-40|Glimpse the True Gods (Fear): Combat - Cause several targets to flee in terror, and perhaps drop what they are holding.
41-42|Hand of the Void (Unseen Hand): Utility - Conjure an invisible flying hand for a short time.
43-44|Hellblast (Fireball): Combat - Unleash an explosive fireball.
45-46|Hex of Volcanic Steel (Heat Metal): Combat - Turn a metal object white hot.
47-48|Hunger for Blood (Haste): Combat - Gain a second attack for a short time.
49-50|Infuse Animus (Animate Object): Utility - Animate an object.
51-52|Light of Soliri (Light): Utility - Conjure sunlight to see by, harm undead, or blind a foe.
53-54|Lightning Bolt: Combat - Unleash a blast of lightning.
55-56|Mask of Many Faces (Disguise Self): Utility - Use illusion magic to look like another humanoid.
57-58|Mend Flesh (Cure Light Wounds): Healing - Restore hit points or mend a persistent injury.
59-60|None Shall Pass (Wizard Lock): Utility - Magically seal a door, window, box, etc.
61-62|One with the Deep (Water Breathing): Utility - Breathe water as well as air.
63-64|Phase Door: Utility - Form a magical doorway through a wall.
65-66|Pierce the Veil (Detect Magic): Utility - Identify magic, veil echoes, and illusions.
67-68|Place of Perfect Night (Darkness): Utility - Conjure a magical, impenetrable darkness.
69-70|Rain of Stone (Ice Storm): Combat - Unleash a hail of stones in an area, causing damage and making the location slippery with scree.
71-72|Riddle of Bones (Speak with Dead): Divination - Speak with a corpse or skeleton about past events.
73-74|Sever Arcarnum (Dispel Magic): Utility - Dispel an ongoing enchantment.
75-76|Shadows & Dust (Phantasmal Force): Utility - Conjure an illusion.
77-78|Sight Beyond Sight (Clairvoyance): Divination - Conjure a flying invisible eye you can see through.
79-80|Silent Shroud (Silence): Utility - Cloak yourself and anything you touch in magical silence.
81-82|Speaker of Tongues (Comprehend Languages): Utility - Speak, read, and write all languages.
83-84|Strange Joining (Telepathy): Utility - Communicate telepathically with multiple targets.
85-86|Sundering Sign (Knock): Utility - Open all nearby doors, locks, windows, etc.
87-88|Thrice Bound Curse: Combat - Render a target blind, mute, and deaf.
89-90|Thunderous Invocation (Thunderwave): Combat - Unleash a wave of thunderous force that pushes targets, or shatter a single object you touch.
91-92|Transmogrification (Polymorph Self): Utility - Transform yourself into another creature.
93-94|Undead Servant (Animate Dead): Utility - Animate a humanoid corpse to serve you.
95-96|Whispers of the Watchers (Locate Object): Divination - Receive directions to find a person or object.
97-98|Wings of the Raven King (Fly): Utility - Grow wings enabling flight.
99-100|Witchblade: Utility - Conjure a spectral weapon with a random enchantment.
