1|Many Maws: Makes 3 bonus attacks each action: Bite 1d10.
2|Cannot be Unseen: Horrifying visage causes random Madness (no save).
3|Psychic Lash: When Wounded, unleashes Brain Burst (Int 16).
4|Crushing Tentacle: Bonus attack: Constrict 1d8 + Str contest or Helpless.
5|Floaty: Ignores gravity, moves in any direction.
6|Veil Rupture: Slain Terror unleashes DDM effect on killer.
7|Pestilent Vapours: Luck (Con) save after Melee engage or suffer disease.
8|Warp Call: When Wounded, another Terror manifests (once).
9|Acid Flesh: Touch melts bone/flesh/steel: +1d8 damage.
10|Unholy Stench: Close range Luck (Con) save or lose 1d6 Con.
11|Eye Stalks: Has 1d3 eye stalks acting as an Eye Terror.
12|Time Shunt: 18+ attack roll shunts target for 1d4 rounds (no save).
