1|Dangerous terrain must be passed through (unstable tunnel, gas, magma, etc). Montage (Mod, 3F) to avoid 2d6 + level damage per PC.
2|Off Course: Party risks becoming lost. Montage (Mod, 3F) to regain bearings. Failure: become lost and roll Random Encounter.
3|A Random Encounter occurs. Roll for Reaction and Activity.
4|Vagaries of Adventure: Consult the Bones for weal (1d4 PCs get a reroll) or woe (roll 1d6 for setbacks like disease or theft).
5|Forgotten Ruins beckon: Montage (Mod, 3F) to explore. Success: each PC finds loot. Failure: awaken guardians (Random Encounter).
6|Overwhelming Numbers block the path. Montage (Hard, 2F) to slip by. Failure: run a Chase.
7|A Random Encounter occurs.
8|New Lore: GM provides a new rumour, myth, or legend to the party.
9|Natural Wonder: Spend a day resting to allow one PC with Madness to make a Luck (Will) save to remove it.
10|Other Travellers: Roll 1d8: (i) Skorn, (ii-iii) Dwarves, (iv) Caravan, (v) Rivals, (vi) Miners, (vii) Cultists, (viii) GM special.
11|A Random Encounter occurs.
12|Camaraderie: One player reveals a PC secret. If entertained, each PC recovers 1 Luck or takes a Short Rest.
13|Short Cut: Resolve as Int or Perc (Wilderness Lore) check. On a Great Success the party enters this hex for free.
14|Lost Supplies: Group Luck save or rations/water halved. Tainted food requires Luck (Con) save vs disease/poison.
15|A Random Encounter occurs.
16|Discovery: Find hex secret or a Monster Lair (use Lair numbers).
17|Unfortunate Injury: NPC, animal, or PC suffers Sprained Ankle. Impacts travel speed unless assisted by Support role.
18|Taxing Terrain (chasm, collapse, etc). Montage (Hard, 2F) required. Failure: party is Fatigued and loses gear.
19|A Random Encounter occurs.
20|Perfect Campsite: Perc (Wilderness Lore*) check. Success: PCs restore 1d3 attribute points, one Reroll, or one Luck point.
